,percentage,ticker,topic,Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
0,0.9441966414451599,AAN,7,AAN,"Aaron&#39;s,  Inc.",41.3,2997483831.0,,,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/aan
1,0.022025713697075844,AAN,19,AAN,"Aaron&#39;s,  Inc.",41.3,2997483831.0,,,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/aan
2,0.013028973713517189,AAN,47,AAN,"Aaron&#39;s,  Inc.",41.3,2997483831.0,,,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/aan
3,0.9718189239501953,AAOI,7,AAOI,"Applied Optoelectronics, Inc.",17.6,348456468.8,,2013.0,Technology,Semiconductors,https://www.nasdaq.com/symbol/aaoi
4,0.020456159487366676,AAOI,32,AAOI,"Applied Optoelectronics, Inc.",17.6,348456468.8,,2013.0,Technology,Semiconductors,https://www.nasdaq.com/symbol/aaoi
5,0.9960994124412537,AAPL,32,AAPL,Apple Inc.,165.48,785268000000.0,,1980.0,Technology,Computer Manufacturing,https://www.nasdaq.com/symbol/aapl
6,0.6974766254425049,ABBV,4,ABBV,AbbVie Inc.,85.61,128776000000.0,,2012.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abbv
7,0.2845054268836975,ABBV,33,ABBV,AbbVie Inc.,85.61,128776000000.0,,2012.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abbv
8,0.013344017788767815,ABBV,44,ABBV,AbbVie Inc.,85.61,128776000000.0,,2012.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abbv
9,0.17667512595653534,ABC,1,ABC,AmerisourceBergen Corporation (Holding Co),78.97,16736387942.0,,,Health Care,Other Pharmaceuticals,https://www.nasdaq.com/symbol/abc
10,0.4474180042743683,ABC,4,ABC,AmerisourceBergen Corporation (Holding Co),78.97,16736387942.0,,,Health Care,Other Pharmaceuticals,https://www.nasdaq.com/symbol/abc
11,0.3755608797073364,ABC,12,ABC,AmerisourceBergen Corporation (Holding Co),78.97,16736387942.0,,,Health Care,Other Pharmaceuticals,https://www.nasdaq.com/symbol/abc
12,0.7520739436149597,ABEO,6,ABEO,Abeona Therapeutics Inc.,7.365,353111139.4,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeo
13,0.2407202422618866,ABEO,11,ABEO,Abeona Therapeutics Inc.,7.365,353111139.4,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeo
14,0.7520465850830078,ABEOW,6,ABEOW,Abeona Therapeutics Inc.,3.4,0.0,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeow
15,0.24093011021614075,ABEOW,11,ABEOW,Abeona Therapeutics Inc.,3.4,0.0,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeow
16,0.03329935297369957,ABIO,5,ABIO,"ARCA biopharma, Inc.",0.52,7240510.16,,,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/abio
17,0.8429111838340759,ABIO,11,ABIO,"ARCA biopharma, Inc.",0.52,7240510.16,,,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/abio
18,0.024758633226156235,ABIO,36,ABIO,"ARCA biopharma, Inc.",0.52,7240510.16,,,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/abio
19,0.07836119085550308,ABIO,46,ABIO,"ARCA biopharma, Inc.",0.52,7240510.16,,,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/abio
20,0.056573785841464996,ABUS,11,ABUS,Arbutus Biopharma Corporation,4.38,242990289.3,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abus
21,0.9419748783111572,ABUS,26,ABUS,Arbutus Biopharma Corporation,4.38,242990289.3,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abus
22,0.824514627456665,ACER,5,ACER,Acer Therapeutics Inc.,17.88,179747425.4,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acer
23,0.13701188564300537,ACER,11,ACER,Acer Therapeutics Inc.,17.88,179747425.4,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acer
24,0.012134997174143791,ACER,33,ACER,Acer Therapeutics Inc.,17.88,179747425.4,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acer
25,0.015534548088908195,ACER,46,ACER,Acer Therapeutics Inc.,17.88,179747425.4,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acer
26,0.7197030186653137,ACIA,7,ACIA,"Acacia Communications, Inc.",41.01,1658577149.0,,2016.0,Technology,Semiconductors,https://www.nasdaq.com/symbol/acia
27,0.2108565866947174,ACIA,32,ACIA,"Acacia Communications, Inc.",41.01,1658577149.0,,2016.0,Technology,Semiconductors,https://www.nasdaq.com/symbol/acia
28,0.06941429525613785,ACIA,47,ACIA,"Acacia Communications, Inc.",41.01,1658577149.0,,2016.0,Technology,Semiconductors,https://www.nasdaq.com/symbol/acia
29,0.5307595133781433,ACIW,7,ACIW,"ACI Worldwide, Inc.",27.47,3185960848.0,,,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/aciw
30,0.23741866648197174,ACIW,32,ACIW,"ACI Worldwide, Inc.",27.47,3185960848.0,,,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/aciw
31,0.0123127531260252,ACIW,40,ACIW,"ACI Worldwide, Inc.",27.47,3185960848.0,,,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/aciw
32,0.21601061522960663,ACIW,47,ACIW,"ACI Worldwide, Inc.",27.47,3185960848.0,,,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/aciw
33,0.5810568332672119,ACLS,7,ACLS,"Axcelis Technologies, Inc.",17.79,576612095.1,,2000.0,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/acls
34,0.010774270631372929,ACLS,15,ACLS,"Axcelis Technologies, Inc.",17.79,576612095.1,,2000.0,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/acls
35,0.05323819816112518,ACLS,19,ACLS,"Axcelis Technologies, Inc.",17.79,576612095.1,,2000.0,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/acls
36,0.28974518179893494,ACLS,32,ACLS,"Axcelis Technologies, Inc.",17.79,576612095.1,,2000.0,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/acls
37,0.05195576325058937,ACLS,42,ACLS,"Axcelis Technologies, Inc.",17.79,576612095.1,,2000.0,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/acls
